No match: |I met Fred Flintstone at the quarry.|
No match: |FRED FLINTSTONE!!!!|
No match: |Barney Rubble and Mr. Slate were there too|
No match: |Alfred Hitchcock is my favourite director.|
No match: |right said fred, both of us together|
No match: |refried infrared inferred |
Matched: |frederick q. fontesnue,  <a>.k.a lord snebworth|
No match: |do you play WoW?	 |
Matched: |I got <a> BSoD last time I played it|
No match: |and then it crashed my iPhone|
No match: |I prefer D&D|
No match: |Χόβερκραφτ μου είναι γεμάτο χέλια|
Matched: |fred and <wilma> flintstone|
Matched: |<Wilma>'s birth name was Wilma Slaghoople   |
Matched: |<Wilma> and Fred went to get a Brontosaurus Burger|
Matched: |<wilma>|
No match: |barney|
Matched: |Mrs. <Wilma> Flintstone|
Matched: |<wilma>&fred|
